profile_id,point_id,x_utm_m,y_utm_m,source_elevation_m,elevation_m,elevation_source,crs,source_file
profile_03,profile_03_point_01,617634.783000,4613599.111000,215.230000,215.230000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_02,617633.643000,4613602.646000,215.730000,215.730000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_03,617633.995000,4613606.539000,217.280000,217.280000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_04,617633.383000,4613608.306000,218.160000,218.160000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_05,617631.826000,4613611.834000,218.120000,218.120000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_06,617631.142000,4613618.042000,217.820000,217.820000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_07,617630.375000,4613624.137000,218.520000,218.520000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_08,617630.654000,4613627.474000,218.570000,218.570000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_09,617630.082000,4613631.907000,218.580000,218.580000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_10,617629.913000,4613637.123000,218.720000,218.720000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_11,617629.279000,4613640.223000,218.540000,218.540000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_12,617629.202000,4613644.886000,219.490000,219.490000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_13,617627.702000,4613650.081000,220.000000,220.000000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_14,617627.113000,4613655.513000,219.630000,219.630000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_15,617626.274000,4613660.941000,219.590000,219.590000,provided_in_source,EPSG:26915,location_line 3.txt
profile_03,profile_03_point_16,617625.279000,4613665.811000,219.590000,219.590000,provided_in_source,EPSG:26915,location_line 3.txt
