Line,Sample,X,Y,Mark,Status,GPSStat,Time[ms],Time[hhmmss.sss],PowerLn,I_450Hz,Q_450Hz,I_1410Hz,Q_1410Hz,I_4350Hz,Q_4350Hz,I_13530Hz,Q_13530Hz,I_42150Hz,Q_42150Hz,QSum
0,11.5,617646.29,4613604.78,0,0,2,71016077.29999998,194335.1273,1.7650000000000001,-621.7777778,252.9683,60.98142399999999,-51.12562947,-78.91368421,444.6045000000001,159.17766666666665,1682.7389473684213,1635.1865,4520.5645,6838.1685
0,22,617646.28,4613604.78,0,0,2,71017127.3,194337.1273,1.7,-678,317.914,-35.8,-51.5,-136,539.082,39.8078,1702.65,1701.45,4512.84,7021
0,23,617646.26,4613604.78,0,0,2,71017227.3,194337.2273,1.7,-663,321.631,58.613,-10.8,-108,464.783,89.7439,1681.85,1680.99,4549.9,7007.35
0,24,617646.25,4613604.78,0,0,2,71017327.3,194337.3273,1.7,-704,303.541,47.6028,-70.1,-98.2,396.852,219.911,1688.44,1600.94,4553.13,6871.83
0,25,617646.23,4613604.78,0,0,2,71017427.3,194337.4273,1.8,-671,326.521,46.6901,-113,-142,424.457,382.44,1750.49,1570.76,4513.61,6902.23
0,26,617646.22,4613604.78,0,0,2,71017527.3,194337.5273,1.7,-652,320.116,113.33,-42.5,-107,447.245,305.305,1805.11,1559.53,4505.16,7035.14
0,27,617646.21,4613604.78,0,0,2,71017627.3,194337.6273,1.7,-648,284.344,143.695,-21.6,-98.6,401.597,224.952,1779.84,1682.45,4510.58,6954.76
0,28,617646.19,4613604.78,0,0,2,71017727.3,194337.7273,1.7,-642,320.53,85.1797,-29.5,-145,486.756,59.3664,1613.45,1641.46,4452.58,6843.87
0,29,617646.18,4613604.78,0,0,2,71017827.3,194337.8273,1.7,-629,273.769,75.3341,-18.8,-142,462.961,45.4222,1534.55,1531.38,4514.09,6766.61
0,30,617646.17,4613604.78,0,0,2,71017927.3,194337.9273,1.7,-594,265.985,8.26541,15.096,-134,400.536,3.6636,1715.68,1499.07,4533.94,6931.23
0,31,617646.16,4613604.78,0,0,2,71018027.3,194338.0273,1.7,-571,270.027,-18.6,30.7902,-126,397.584,-93.4,1584.22,1452.85,4569.9,6852.52
0,32,617646.15,4613604.8,0,0,2,71018127.3,194338.1273,1.7,-656,261.107,62.262,1.06622,-153,374.723,-59.2,1693.04,1556.11,4563.3,6893.24
0,33,617646.15,4613604.82,0,0,2,71018227.3,194338.2273,1.7,-681,267.92,56.7412,22.1467,-44.8,351.178,-23.1,1742.21,1528.58,4446.32,6829.78
