electrode_id,distance_m,x_utm15N_NAD83_m,y_utm15N_NAD83_m,elevation_m_estimated,longitude_WGS84,latitude_WGS84,location_basis
1,0.000,617843.737,4613545.699,211.160,-91.5844850000,41.6649570000,interpolated_from_seismic_GPS
2,2.000,617843.061,4613547.581,212.175,-91.5844927492,41.6649740482,interpolated_from_seismic_GPS
3,4.000,617842.220,4613549.392,211.317,-91.5845024873,41.6649904805,interpolated_from_seismic_GPS
4,6.000,617841.510,4613551.234,210.509,-91.5845106457,41.6650071655,interpolated_from_seismic_GPS
5,8.000,617841.291,4613553.221,211.719,-91.5845128873,41.6650250982,interpolated_from_seismic_GPS
6,10.000,617841.028,4613555.204,211.408,-91.5845156546,41.6650429893,interpolated_from_seismic_GPS
7,12.000,617840.761,4613557.186,211.129,-91.5845184665,41.6650608767,interpolated_from_seismic_GPS
8,14.000,617840.487,4613559.167,211.433,-91.5845213659,41.6650787563,interpolated_from_seismic_GPS
9,16.000,617840.211,4613561.148,211.686,-91.5845242931,41.6650966333,interpolated_from_seismic_GPS
10,18.000,617839.912,4613563.126,211.425,-91.5845274971,41.6651144836,interpolated_from_seismic_GPS
11,20.000,617839.612,4613565.103,211.164,-91.5845307010,41.6651323340,interpolated_from_seismic_GPS
12,22.000,617839.243,4613567.069,211.676,-91.5845347534,41.6651500859,interpolated_from_seismic_GPS
13,24.000,617838.821,4613569.021,212.030,-91.5845394360,41.6651677337,interpolated_from_seismic_GPS
14,26.000,617838.235,4613570.934,211.520,-91.5845460922,41.6651850396,interpolated_from_seismic_GPS
15,28.000,617837.649,4613572.846,211.009,-91.5845527483,41.6652023455,interpolated_from_seismic_GPS
16,30.000,617837.363,4613574.825,211.142,-91.5845558004,41.6652202025,interpolated_from_seismic_GPS
17,32.000,617837.088,4613576.806,211.300,-91.5845587109,41.6652380811,interpolated_from_seismic_GPS
18,34.000,617836.694,4613578.763,211.568,-91.5845630528,41.6652557690,interpolated_from_seismic_GPS
19,36.000,617836.206,4613580.703,211.925,-91.5845685329,41.6652733052,interpolated_from_seismic_GPS
20,38.000,617835.870,4613582.672,211.980,-91.5845721813,41.6652910876,interpolated_from_seismic_GPS
21,40.000,617835.589,4613584.652,211.925,-91.5845751600,41.6653089598,interpolated_from_seismic_GPS
22,42.000,617835.179,4613586.608,211.987,-91.5845796970,41.6653266313,interpolated_from_seismic_GPS
23,44.000,617834.718,4613588.554,212.094,-91.5845848460,41.6653442239,interpolated_from_seismic_GPS
24,46.000,617834.189,4613590.481,212.152,-91.5845908214,41.6653616503,interpolated_from_seismic_GPS
25,48.000,617833.552,4613592.377,212.131,-91.5845981029,41.6653788141,interpolated_from_seismic_GPS
26,50.000,617832.991,4613594.295,212.169,-91.5846044503,41.6653961677,interpolated_from_seismic_GPS
27,52.000,617832.521,4613596.239,212.274,-91.5846097220,41.6654137398,interpolated_from_seismic_GPS
28,54.000,617832.056,4613598.184,212.304,-91.5846149108,41.6654313254,extrapolated_north_from_seismic_GPS
29,56.000,617831.622,4613600.136,212.347,-91.5846197430,41.6654489684,extrapolated_north_from_seismic_GPS
30,58.000,617831.188,4613602.088,212.389,-91.5846245752,41.6654666115,extrapolated_north_from_seismic_GPS
31,60.000,617830.753,4613604.041,212.431,-91.5846294074,41.6654842546,extrapolated_north_from_seismic_GPS
32,62.000,617830.319,4613605.993,212.474,-91.5846342396,41.6655018976,extrapolated_north_from_seismic_GPS
33,64.000,617829.884,4613607.945,212.516,-91.5846390719,41.6655195407,extrapolated_north_from_seismic_GPS
34,66.000,617829.450,4613609.897,212.558,-91.5846439041,41.6655371838,extrapolated_north_from_seismic_GPS
35,68.000,617829.015,4613611.850,212.600,-91.5846487363,41.6655548268,extrapolated_north_from_seismic_GPS
36,70.000,617828.581,4613613.802,212.643,-91.5846535686,41.6655724699,extrapolated_north_from_seismic_GPS
37,72.000,617828.146,4613615.754,212.685,-91.5846584008,41.6655901130,extrapolated_north_from_seismic_GPS
38,74.000,617827.712,4613617.706,212.727,-91.5846632330,41.6656077560,extrapolated_north_from_seismic_GPS
39,76.000,617827.277,4613619.659,212.770,-91.5846680653,41.6656253991,extrapolated_north_from_seismic_GPS
40,78.000,617826.843,4613621.611,212.812,-91.5846728975,41.6656430421,extrapolated_north_from_seismic_GPS
41,80.000,617826.408,4613623.563,212.854,-91.5846777297,41.6656606852,extrapolated_north_from_seismic_GPS
42,82.000,617825.974,4613625.515,212.897,-91.5846825620,41.6656783283,extrapolated_north_from_seismic_GPS
43,84.000,617825.539,4613627.467,212.939,-91.5846873942,41.6656959713,extrapolated_north_from_seismic_GPS
44,86.000,617825.105,4613629.420,212.981,-91.5846922265,41.6657136144,extrapolated_north_from_seismic_GPS
45,88.000,617824.670,4613631.372,213.024,-91.5846970587,41.6657312574,extrapolated_north_from_seismic_GPS
46,90.000,617824.236,4613633.324,213.066,-91.5847018910,41.6657489005,extrapolated_north_from_seismic_GPS
47,92.000,617823.802,4613635.276,213.108,-91.5847067233,41.6657665436,extrapolated_north_from_seismic_GPS
48,94.000,617823.367,4613637.229,213.151,-91.5847115555,41.6657841866,extrapolated_north_from_seismic_GPS
