line,station,distance_m,x_utm15N_NAD83_m,y_utm15N_NAD83_m,elevation_m,longitude_WGS84,latitude_WGS84
1000,1000_1,0.000000,617727.699000,4613564.764000,204.113000,-91.585875,41.665146
1000,1000_2,2.000000,617728.034000,4613566.736000,204.133000,-91.585870,41.665164
1000,1000_3,4.000000,617728.369000,4613568.708000,204.217000,-91.585866,41.665181
1000,1000_4,6.000000,617728.704000,4613570.679000,204.257000,-91.585861,41.665199
1000,1000_5,8.000000,617729.039000,4613572.651000,204.317000,-91.585857,41.665217
1000,1000_6,10.000000,617729.374000,4613574.623000,204.297000,-91.585853,41.665234
1000,1000_7,12.000000,617729.708000,4613576.595000,204.301000,-91.585848,41.665252
1000,1000_8,14.000000,617730.043000,4613578.566000,204.341000,-91.585844,41.665270
1000,1000_9,16.000000,617730.378000,4613580.538000,204.401000,-91.585839,41.665287
1000,1000_10,18.000000,617730.713000,4613582.510000,204.481000,-91.585835,41.665305
1000,1000_11,20.000000,617731.048000,4613584.482000,204.530000,-91.585831,41.665323
1000,1000_12,22.000000,617731.383000,4613586.453000,204.570000,-91.585826,41.665341
1000,1000_13,24.000000,617731.718000,4613588.425000,204.610000,-91.585822,41.665358
1000,1000_14,26.000000,617732.053000,4613590.397000,204.630000,-91.585817,41.665376
1000,1000_15,28.000000,617732.388000,4613592.369000,204.678000,-91.585813,41.665394
1000,1000_16,30.000000,617732.723000,4613594.340000,204.698000,-91.585809,41.665411
1000,1000_17,32.000000,617733.058000,4613596.312000,204.738000,-91.585804,41.665429
1000,1000_18,34.000000,617733.392000,4613598.284000,204.818000,-91.585800,41.665447
1000,1000_19,36.000000,617733.727000,4613600.256000,204.856000,-91.585795,41.665465
1000,1000_20,38.000000,617734.062000,4613602.227000,204.856000,-91.585791,41.665482
1000,1000_21,40.000000,617734.397000,4613604.199000,204.896000,-91.585786,41.665500
1000,1000_22,42.000000,617734.732000,4613606.171000,204.896000,-91.585782,41.665518
1000,1000_23,44.000000,617735.067000,4613608.143000,204.914000,-91.585778,41.665535
1000,1000_24,46.000000,617735.402000,4613610.114000,204.974000,-91.585773,41.665553
1000,1000_25,48.000000,617735.737000,4613612.086000,204.954000,-91.585769,41.665571
1000,1000_26,50.000000,617736.072000,4613614.058000,204.994000,-91.585764,41.665588
1000,1000_27,52.000000,617736.407000,4613616.030000,205.049000,-91.585760,41.665606
1000,1000_28,54.000000,617736.742000,4613618.002000,205.149000,-91.585756,41.665624
