LineName,X,Y,Z
line 1,617645.277,4613599.061,216.3
line 1,617644.755,4613605.494,216.27
line 1,617644.083,4613610.924,214.73
line 1,617643.1,4613615.017,215.95
line 1,617642.095,4613620.443,216.92
line 1,617641.928,4613625.549,217.54
line 1,617640.955,4613628.975,217.61
line 1,617640.537,4613634.188,217.4
line 1,617638.976,4613637.938,217.69
line 1,617638.31,4613643.036,217.75
line 1,617637.969,4613648.583,217.77
line 1,617636.893,4613653.23,217.82
line 1,617635.454,4613659.759,219.03
line 1,617634.882,4613664.192,219.41
line 1,617634.586,4613666.963,219.41
