Line,Sample,X,Y,Mark,Status,GPSStat,Time[ms],Time[hhmmss.sss],PowerLn, ResLayer_1, ResLayer_2, ResLayer_3, ResLayer_4, ResLayer_5, ThiLayer_1, ThiLayer_2, ThiLayer_3, ThiLayer_4,FitError(%)
0.0,11.5,617646.29,4613604.78,0.0,0.0,2.0,71016077.29999998,194335.1273,1.7650000000000001, 30.042, 18.197, 6.844, 7.839, 32.152, 2.679, 0.736, 1.195, 0.492, 16.06
0.0,22.0,617646.28,4613604.78,0.0,0.0,2.0,71017127.3,194337.1273,1.7, 104.856, 17.128, 3.434, 7.597, 112.220, 2.089, 0.200, 1.084, 0.200, 13.27
0.0,23.0,617646.26,4613604.78,0.0,0.0,2.0,71017227.3,194337.2273,1.7, 282.813, 17.468, 1.559, 7.693, 381.923, 2.235, 0.200, 0.535, 0.200, 12.97
0.0,24.0,617646.25,4613604.78,0.0,0.0,2.0,71017327.3,194337.3273,1.7, 370.745, 17.613, 1.253, 7.753, 519.214, 2.364, 0.200, 0.452, 0.200, 13.15
0.0,25.0,617646.23,4613604.78,0.0,0.0,2.0,71017427.3,194337.4273,1.8, 400.473, 17.663, 1.179, 7.771, 556.727, 2.483, 0.200, 0.463, 0.200, 14.31
0.0,26.0,617646.22,4613604.78,0.0,0.0,2.0,71017527.3,194337.5273,1.7, 437.196, 17.712, 1.085, 7.800, 612.969, 2.373, 0.200, 0.405, 0.200, 12.51
0.0,27.0,617646.21,4613604.78,0.0,0.0,2.0,71017627.3,194337.6273,1.7, 482.681, 17.781, 0.993, 7.836, 682.136, 2.400, 0.200, 0.373, 0.200, 13.06
0.0,28.0,617646.19,4613604.78,0.0,0.0,2.0,71017727.3,194337.7273,1.7, 528.083, 17.852, 0.913, 7.883, 773.828, 2.239, 0.200, 0.297, 0.200, 13.34
0.0,29.0,617646.18,4613604.78,0.0,0.0,2.0,71017827.3,194337.8273,1.7, 551.410, 17.895, 0.878, 7.911, 831.900, 2.180, 0.200, 0.267, 0.200, 13.81
0.0,30.0,617646.17,4613604.78,0.0,0.0,2.0,71017927.3,194337.9273,1.7, 571.773, 17.936, 0.847, 7.942, 895.452, 2.043, 0.200, 0.240, 0.200, 13.65
0.0,31.0,617646.16,4613604.78,0.0,0.0,2.0,71018027.3,194338.0273,1.7, 587.530, 17.973, 0.824, 7.971, 958.587, 1.929, 0.200, 0.208, 0.200, 14.82
0.0,32.0,617646.15,4613604.8,0.0,0.0,2.0,71018127.3,194338.1273,1.7, 594.985, 18.003, 0.816, 7.980, 980.341, 2.013, 0.228, 0.228, 0.200, 15.35
