OBJECTID,Line,Sample,X,Y,Mark,Status,GPSStat,Time_ms_,Time_hhmmss_sss_,PowerLn,ResLayer_1,ResLayer_2,ResLayer_3,ResLayer_4,ResLayer_5,ThiLayer_1,ThiLayer_2,ThiLayer_3,ThiLayer_4,FitError___
1,1,41144,617569.82,4613617.5,135,0,1,75253749.3,205413.7493,1.9,166.835,1031.093,11.813,620.188,2000,0.2,0.2,1.339,1.316,26.21
2,1,41145,617569.79,4613617.54,135,0,1,75253849.3,205413.8493,2.1,170.476,1034.08,3.701,623.245,2000,0.2,0.634,0.968,0.71,30.25
3,1,41146,617569.76,4613617.57,135,0,1,75253949.3,205413.9493,2.1,170.49,1034.11,3.715,623.25,1999.973,0.2,0.878,0.783,0.709,31.22
4,1,41147,617569.73,4613617.61,135,0,1,75254049.3,205414.0493,2,114.517,833.636,2.462,524.942,2000,0.2,0.2,0.2,0.235,26.09
5,1,41148,617569.71,4613617.65,135,0,1,75254149.3,205414.1493,2.2,97.168,810.675,6.106,522.524,1770.392,0.233,1.083,6,0.446,20.23
6,1,41149,617569.68,4613617.68,135,0,1,75254249.3,205414.2493,2.2,98.163,812.118,4.658,522.544,1774.524,0.232,1.01,2.894,0.444,32.74
7,1,41150,617569.65,4613617.72,135,0,1,75254349.3,205414.3493,2.1,101.448,851.262,3.971,533.814,1884.684,0.2,0.2,0.455,0.263,34.23
8,1,41151,617569.62,4613617.76,135,0,1,75254449.3,205414.4493,2.2,78.459,800.974,2.643,511.178,2000,0.2,0.2,0.2,0.2,23.97
9,1,41152,617569.59,4613617.79,135,0,1,75254549.3,205414.5493,2.1,78.169,800.837,2.624,511.212,2000,0.2,0.2,0.2,0.2,26.45
10,1,41153,617569.56,4613617.83,135,0,1,75254649.3,205414.6493,2,103.283,889.195,1.033,510.504,1917.598,0.2,2.329,0.658,0.243,19.6
