48
# x y z
0.000 0.000 212.250
1.500 0.000 212.295
3.000 0.000 212.339
4.500 0.000 212.384
6.000 0.000 212.429
7.500 0.000 212.474
9.000 0.000 212.518
10.500 0.000 212.563
12.000 0.000 212.608
13.500 0.000 212.652
15.000 0.000 212.697
16.500 0.000 212.742
18.000 0.000 212.786
19.500 0.000 212.831
21.000 0.000 212.876
22.500 0.000 212.921
24.000 0.000 212.965
25.500 0.000 213.010
27.000 0.000 213.055
28.500 0.000 213.099
30.000 0.000 213.144
31.500 0.000 213.189
33.000 0.000 213.234
34.500 0.000 213.278
36.000 0.000 213.323
37.500 0.000 213.368
39.000 0.000 213.412
40.500 0.000 213.457
42.000 0.000 213.502
43.500 0.000 213.546
45.000 0.000 213.591
46.500 0.000 213.636
48.000 0.000 213.681
49.500 0.000 213.725
51.000 0.000 213.770
52.500 0.000 213.815
54.000 0.000 213.859
55.500 0.000 213.904
57.000 0.000 213.949
58.500 0.000 213.994
60.000 0.000 214.038
61.500 0.000 214.083
63.000 0.000 214.128
64.500 0.000 214.172
66.000 0.000 214.217
67.500 0.000 214.262
69.000 0.000 214.306
70.500 0.000 214.351
106
# a b m n k rhoa err
1 2 3 4 -28.286 13.46 0.0313
1 2 4 5 -113.146 2.46 2.0493
2 3 4 5 -28.2873 15.29 0.0956
2 3 5 6 -113.15 4.46 1.7096
2 3 8 9 -990.052 22.73 2.6559
3 4 5 6 -28.2871 18.93 0.2009
3 4 6 7 -113.15 4.72 1.5868
4 5 6 7 -28.2873 16.1 0.1334
4 5 14 15 -4667.28 136.15 2.7627
5 6 7 8 -28.286 17.52 0.0739
5 6 8 9 -113.146 2.47 2.3786
6 7 8 9 -28.2873 18.06 0.0429
6 7 9 10 -113.151 13.39 0.418
6 7 10 11 -282.87 10.84 2.7558
7 8 9 10 -28.2873 20.7 0.0649
7 8 10 11 -113.146 5.58 1.2321
7 8 18 19 -6223.05 151.44 2.4956
8 9 10 11 -28.286 19.14 0.0809
8 9 11 12 -113.146 2.09 2.576
9 10 11 12 -28.2873 18.31 0.0987
9 10 12 13 -113.151 5.87 1.3535
9 10 13 14 -282.87 5.79 2.5375
9 10 14 15 -565.742 11.86 2.8413
9 10 20 21 -6223.16 728.86 1.5121
10 11 12 13 -28.2873 18.46 0.0937
10 11 13 14 -113.146 6.56 1.4208
11 12 13 14 -28.286 21.38 0.0749
11 12 14 15 -113.146 2.04 2.627
11 12 17 18 -990.027 118.4 1.8823
11 12 20 21 -3394.38 77.62 2.4698
12 13 14 15 -28.2873 20.73 0.0721
12 13 15 16 -113.15 6.44 1.3214
12 13 16 17 -282.878 7.21 2.2377
13 14 15 16 -28.2871 21.13 0.076
13 14 16 17 -113.15 2.18 2.4317
14 15 16 17 -28.2873 16.48 0.091
14 15 17 18 -113.146 2.03 2.3803
14 15 21 22 -1584.05 33.43 2.7804
15 16 17 18 -28.286 23.98 0.0007
15 16 18 19 -113.146 3.62 1.4705
16 17 18 19 -28.2873 18.86 0.0992
16 17 19 20 -113.151 2.13 2.6342
16 17 23 24 -1584.11 67.68 1.9279
17 18 19 20 -28.2873 19.68 0.0536
17 18 20 21 -113.146 1.8 2.6268
18 19 20 21 -28.286 17.49 0.0464
18 19 21 22 -113.146 4.01 1.6958
18 19 26 27 -2376.12 53.83 2.9872
19 20 21 22 -28.2873 20.56 0.0537
19 20 22 23 -113.15 8.55 0.8184
20 21 22 23 -28.2871 19.94 0.1302
20 21 24 25 -282.866 5.51 2.4958
20 21 27 28 -1584.05 34.41 2.3524
21 22 24 25 -113.146 3.57 1.4461
21 22 25 26 -282.866 5.63 2.7994
22 23 24 25 -28.286 19.21 0.0713
22 23 25 26 -113.146 6.09 1.1587
