station distance_m x_utm_m y_utm_m elevation_m
000 0.000 617725.518 4613570.837 212.250
001 1.500 617725.815 4613572.305 212.295
002 3.000 617726.112 4613573.774 212.339
003 4.500 617726.410 4613575.241 212.384
004 6.000 617726.708 4613576.710 212.429
005 7.500 617727.005 4613578.178 212.474
006 9.000 617727.302 4613579.647 212.518
007 10.500 617727.600 4613581.115 212.563
008 12.000 617727.898 4613582.583 212.608
009 13.500 617728.195 4613584.052 212.652
010 15.000 617728.493 4613585.520 212.697
011 16.500 617728.790 4613586.988 212.742
012 18.000 617729.087 4613588.456 212.786
013 19.500 617729.386 4613589.925 212.831
014 21.000 617729.683 4613591.394 212.876
015 22.500 617729.980 4613592.862 212.921
016 24.000 617730.278 4613594.330 212.965
017 25.500 617730.575 4613595.798 213.010
018 27.000 617730.873 4613597.267 213.055
019 28.500 617731.170 4613598.736 213.099
020 30.000 617731.468 4613600.203 213.144
021 31.500 617731.765 4613601.672 213.189
022 33.000 617732.063 4613603.140 213.234
023 34.500 617732.361 4613604.609 213.278
024 36.000 617732.658 4613606.076 213.323
025 37.500 617732.955 4613607.545 213.368
026 39.000 617733.253 4613609.014 213.412
027 40.500 617733.550 4613610.482 213.457
028 42.000 617733.848 4613611.951 213.502
029 43.500 617734.146 4613613.418 213.546
030 45.000 617734.443 4613614.887 213.591
031 46.500 617734.740 4613616.355 213.636
032 48.000 617735.038 4613617.824 213.681
033 49.500 617735.336 4613619.292 213.725
034 51.000 617735.633 4613620.760 213.770
035 52.500 617735.930 4613622.229 213.815
036 54.000 617736.228 4613623.697 213.859
037 55.500 617736.525 4613625.165 213.904
038 57.000 617736.823 4613626.633 213.949
039 58.500 617737.121 4613628.102 213.994
040 60.000 617737.418 4613629.571 214.038
041 61.500 617737.715 4613631.039 214.083
042 63.000 617738.014 4613632.507 214.128
043 64.500 617738.311 4613633.975 214.172
044 66.000 617738.608 4613635.444 214.217
045 67.500 617738.906 4613636.913 214.262
046 69.000 617739.203 4613638.380 214.306
047 70.500 617739.501 4613639.849 214.351
