line,station,distance_m,x_utm15N_NAD83_m,y_utm15N_NAD83_m,elevation_m,longitude_WGS84,latitude_WGS84
1000,1000_1,0.000,617727.699,4613564.764,204.113,-91.5858746593,41.6651458236
1000,1000_2,2.000,617728.034,4613566.736,204.133,-91.5858702479,41.6651635308
1000,1000_3,4.000,617728.369,4613568.708,204.217,-91.5858658364,41.6651812381
1000,1000_4,6.000,617728.704,4613570.679,204.257,-91.5858614252,41.6651989364
1000,1000_5,8.000,617729.039,4613572.651,204.317,-91.5858570138,41.6652166436
1000,1000_6,10.000,617729.374,4613574.623,204.297,-91.5858526024,41.6652343509
1000,1000_7,12.000,617729.708,4613576.595,204.301,-91.5858482030,41.6652520583
1000,1000_8,14.000,617730.043,4613578.566,204.341,-91.5858437918,41.6652697566
1000,1000_9,16.000,617730.378,4613580.538,204.401,-91.5858393804,41.6652874639
1000,1000_10,18.000,617730.713,4613582.510,204.481,-91.5858349689,41.6653051711
1000,1000_11,20.000,617731.048,4613584.482,204.530,-91.5858305575,41.6653228784
1000,1000_12,22.000,617731.383,4613586.453,204.570,-91.5858261463,41.6653405767
1000,1000_13,24.000,617731.718,4613588.425,204.610,-91.5858217348,41.6653582839
1000,1000_14,26.000,617732.053,4613590.397,204.630,-91.5858173234,41.6653759912
1000,1000_15,28.000,617732.388,4613592.369,204.678,-91.5858129120,41.6653936984
1000,1000_16,30.000,617732.723,4613594.340,204.698,-91.5858085007,41.6654113967
1000,1000_17,32.000,617733.058,4613596.312,204.738,-91.5858040893,41.6654291040
1000,1000_18,34.000,617733.392,4613598.284,204.818,-91.5857996899,41.6654468114
1000,1000_19,36.000,617733.727,4613600.256,204.856,-91.5857952784,41.6654645187
1000,1000_20,38.000,617734.062,4613602.227,204.856,-91.5857908672,41.6654822169
1000,1000_21,40.000,617734.397,4613604.199,204.896,-91.5857864557,41.6654999242
1000,1000_22,42.000,617734.732,4613606.171,204.896,-91.5857820443,41.6655176314
1000,1000_23,44.000,617735.067,4613608.143,204.914,-91.5857776328,41.6655353387
1000,1000_24,46.000,617735.402,4613610.114,204.974,-91.5857732215,41.6655530370
1000,1000_25,48.000,617735.737,4613612.086,204.954,-91.5857688101,41.6655707442
1000,1000_26,50.000,617736.072,4613614.058,204.994,-91.5857643986,41.6655884515
1000,1000_27,52.000,617736.407,4613616.030,205.049,-91.5857599871,41.6656061587
1000,1000_28,54.000,617736.742,4613618.002,205.149,-91.5857555757,41.6656238660
2000,2000_1,0.000,617731.173,4613591.586,212.646,-91.5858276564,41.6653868275
2000,2000_2,2.000,617729.218,4613592.008,212.114,-91.5858510496,41.6653909162
2000,2000_3,4.000,617727.263,4613592.429,212.024,-91.5858744430,41.6653949960
2000,2000_4,6.000,617725.308,4613592.851,212.752,-91.5858978361,41.6653990847
2000,2000_5,8.000,617723.353,4613593.273,213.440,-91.5859212293,41.6654031734
2000,2000_6,10.000,617721.398,4613593.695,213.895,-91.5859446225,41.6654072621
2000,2000_7,12.000,617719.443,4613594.116,213.607,-91.5859680159,41.6654113418
2000,2000_8,14.000,617717.488,4613594.538,213.320,-91.5859914091,41.6654154306
2000,2000_9,16.000,617715.533,4613594.960,213.248,-91.5860148023,41.6654195193
2000,2000_10,18.000,617713.578,4613595.382,213.195,-91.5860381954,41.6654236080
2000,2000_11,20.000,617711.623,4613595.803,213.168,-91.5860615888,41.6654276877
2000,2000_12,22.000,617709.668,4613596.225,213.141,-91.5860849820,41.6654317764
2000,2000_13,24.000,617707.713,4613596.647,212.824,-91.5861083752,41.6654358650
2000,2000_14,26.000,617705.758,4613597.069,212.496,-91.5861317684,41.6654399537
2000,2000_15,28.000,617703.803,4613597.490,212.838,-91.5861551618,41.6654440334
2000,2000_16,30.000,617701.848,4613597.912,213.264,-91.5861785551,41.6654481221
2000,2000_17,32.000,617699.893,4613598.334,213.356,-91.5862019483,41.6654522107
2000,2000_18,34.000,617697.938,4613598.756,213.427,-91.5862253415,41.6654562994
2000,2000_19,36.000,617695.982,4613599.177,213.478,-91.5862487469,41.6654603792
2000,2000_20,38.000,617694.027,4613599.599,212.845,-91.5862721401,41.6654644679
2000,2000_21,40.000,617692.072,4613600.021,212.263,-91.5862955334,41.6654685565
2000,2000_22,42.000,617690.117,4613600.442,212.263,-91.5863189268,41.6654726361
2000,2000_23,44.000,617688.162,4613600.864,212.263,-91.5863423200,41.6654767248
2000,2000_24,46.000,617686.207,4613601.286,212.263,-91.5863657133,41.6654808134
2000,2000_25,48.000,617684.252,4613601.708,212.263,-91.5863891065,41.6654849020
2000,2000_26,50.000,617682.297,4613602.129,212.263,-91.5864124999,41.6654889817
2000,2000_27,52.000,617680.342,4613602.551,212.263,-91.5864358932,41.6654930703
2000,2000_28,54.000,617678.387,4613602.973,212.263,-91.5864592864,41.6654971589
