date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label
2026-04-11,ERT,ERT electrodes,01,0411-E01,-91.5844850000,41.6649570000,211.160,ERT 01
2026-04-11,ERT,ERT electrodes,02,0411-E02,-91.5844927492,41.6649740482,212.175,ERT 02
2026-04-11,ERT,ERT electrodes,03,0411-E03,-91.5845024873,41.6649904805,211.317,ERT 03
2026-04-11,ERT,ERT electrodes,04,0411-E04,-91.5845106457,41.6650071655,210.509,ERT 04
2026-04-11,ERT,ERT electrodes,05,0411-E05,-91.5845128873,41.6650250982,211.719,ERT 05
2026-04-11,ERT,ERT electrodes,06,0411-E06,-91.5845156546,41.6650429893,211.408,ERT 06
2026-04-11,ERT,ERT electrodes,07,0411-E07,-91.5845184665,41.6650608767,211.129,ERT 07
2026-04-11,ERT,ERT electrodes,08,0411-E08,-91.5845213659,41.6650787563,211.433,ERT 08
2026-04-11,ERT,ERT electrodes,09,0411-E09,-91.5845242931,41.6650966333,211.686,ERT 09
2026-04-11,ERT,ERT electrodes,10,0411-E10,-91.5845274971,41.6651144836,211.425,ERT 10
2026-04-11,ERT,ERT electrodes,11,0411-E11,-91.5845307010,41.6651323340,211.164,ERT 11
2026-04-11,ERT,ERT electrodes,12,0411-E12,-91.5845347534,41.6651500859,211.676,ERT 12
2026-04-11,ERT,ERT electrodes,13,0411-E13,-91.5845394360,41.6651677337,212.030,ERT 13
2026-04-11,ERT,ERT electrodes,14,0411-E14,-91.5845460922,41.6651850396,211.520,ERT 14
2026-04-11,ERT,ERT electrodes,15,0411-E15,-91.5845527483,41.6652023455,211.009,ERT 15
2026-04-11,ERT,ERT electrodes,16,0411-E16,-91.5845558004,41.6652202025,211.142,ERT 16
2026-04-11,ERT,ERT electrodes,17,0411-E17,-91.5845587109,41.6652380811,211.300,ERT 17
2026-04-11,ERT,ERT electrodes,18,0411-E18,-91.5845630528,41.6652557690,211.568,ERT 18
2026-04-11,ERT,ERT electrodes,19,0411-E19,-91.5845685329,41.6652733052,211.925,ERT 19
2026-04-11,ERT,ERT electrodes,20,0411-E20,-91.5845721813,41.6652910876,211.980,ERT 20
2026-04-11,ERT,ERT electrodes,21,0411-E21,-91.5845751600,41.6653089598,211.925,ERT 21
2026-04-11,ERT,ERT electrodes,22,0411-E22,-91.5845796970,41.6653266313,211.987,ERT 22
2026-04-11,ERT,ERT electrodes,23,0411-E23,-91.5845848460,41.6653442239,212.094,ERT 23
2026-04-11,ERT,ERT electrodes,24,0411-E24,-91.5845908214,41.6653616503,212.152,ERT 24
2026-04-11,ERT,ERT electrodes,25,0411-E25,-91.5845981029,41.6653788141,212.131,ERT 25
2026-04-11,ERT,ERT electrodes,26,0411-E26,-91.5846044503,41.6653961677,212.169,ERT 26
2026-04-11,ERT,ERT electrodes,27,0411-E27,-91.5846097220,41.6654137398,212.274,ERT 27
2026-04-11,ERT,ERT electrodes,28,0411-E28,-91.5846149108,41.6654313254,212.304,ERT 28
2026-04-11,ERT,ERT electrodes,29,0411-E29,-91.5846197430,41.6654489684,212.347,ERT 29
2026-04-11,ERT,ERT electrodes,30,0411-E30,-91.5846245752,41.6654666115,212.389,ERT 30
2026-04-11,ERT,ERT electrodes,31,0411-E31,-91.5846294074,41.6654842546,212.431,ERT 31
2026-04-11,ERT,ERT electrodes,32,0411-E32,-91.5846342396,41.6655018976,212.474,ERT 32
2026-04-11,ERT,ERT electrodes,33,0411-E33,-91.5846390719,41.6655195407,212.516,ERT 33
2026-04-11,ERT,ERT electrodes,34,0411-E34,-91.5846439041,41.6655371838,212.558,ERT 34
2026-04-11,ERT,ERT electrodes,35,0411-E35,-91.5846487363,41.6655548268,212.600,ERT 35
2026-04-11,ERT,ERT electrodes,36,0411-E36,-91.5846535686,41.6655724699,212.643,ERT 36
2026-04-11,ERT,ERT electrodes,37,0411-E37,-91.5846584008,41.6655901130,212.685,ERT 37
2026-04-11,ERT,ERT electrodes,38,0411-E38,-91.5846632330,41.6656077560,212.727,ERT 38
2026-04-11,ERT,ERT electrodes,39,0411-E39,-91.5846680653,41.6656253991,212.770,ERT 39
2026-04-11,ERT,ERT electrodes,40,0411-E40,-91.5846728975,41.6656430421,212.812,ERT 40
2026-04-11,ERT,ERT electrodes,41,0411-E41,-91.5846777297,41.6656606852,212.854,ERT 41
2026-04-11,ERT,ERT electrodes,42,0411-E42,-91.5846825620,41.6656783283,212.897,ERT 42
2026-04-11,ERT,ERT electrodes,43,0411-E43,-91.5846873942,41.6656959713,212.939,ERT 43
2026-04-11,ERT,ERT electrodes,44,0411-E44,-91.5846922265,41.6657136144,212.981,ERT 44
2026-04-11,ERT,ERT electrodes,45,0411-E45,-91.5846970587,41.6657312574,213.024,ERT 45
2026-04-11,ERT,ERT electrodes,46,0411-E46,-91.5847018910,41.6657489005,213.066,ERT 46
2026-04-11,ERT,ERT electrodes,47,0411-E47,-91.5847067233,41.6657665436,213.108,ERT 47
2026-04-11,ERT,ERT electrodes,48,0411-E48,-91.5847115555,41.6657841866,213.151,ERT 48
2026-04-11,Seismic GPS,Seismic GPS,01,0411-S01,-91.5844850000,41.6649570000,211.160,Ch52
2026-04-11,Seismic GPS,Seismic GPS,02,0411-S02,-91.5844950000,41.6649790000,212.470,Ch11
2026-04-11,Seismic GPS,Seismic GPS,03,0411-S03,-91.5845100000,41.6650020000,210.160,0011
2026-04-11,Seismic GPS,Seismic GPS,04,0411-S04,-91.5845130000,41.6650260000,211.780,0012
2026-04-11,Seismic GPS,Seismic GPS,05,0411-S05,-91.5845180000,41.6650580000,211.080,0013
2026-04-11,Seismic GPS,Seismic GPS,06,0411-S06,-91.5845240000,41.6650950000,211.710,0014
2026-04-11,Seismic GPS,Seismic GPS,07,0411-S07,-91.5845310000,41.6651340000,211.140,0015
2026-04-11,Seismic GPS,Seismic GPS,08,0411-S08,-91.5845380000,41.6651640000,212.140,0016
2026-04-11,Seismic GPS,Seismic GPS,09,0411-S09,-91.5845530000,41.6652030000,210.990,0017
2026-04-11,Seismic GPS,Seismic GPS,10,0411-S10,-91.5845600000,41.6652460000,211.370,0018
2026-04-11,Seismic GPS,Seismic GPS,11,0411-S11,-91.5845700000,41.6652780000,212.020,0019
2026-04-11,Seismic GPS,Seismic GPS,12,0411-S12,-91.5845760000,41.6653140000,211.910,0020
2026-04-11,Seismic GPS,Seismic GPS,13,0411-S13,-91.5845880000,41.6653550000,212.160,0021
2026-04-11,Seismic GPS,Seismic GPS,14,0411-S14,-91.5846020000,41.6653880000,212.120,0022
2026-04-11,Seismic GPS,Seismic GPS,15,0411-S15,-91.5846140000,41.6654280000,212.360,0023
2026-05-02,ERT,ERT electrodes,01,0502-E01,-91.5858996526,41.6652008298,212.250,ERT_000
2026-05-02,ERT,ERT electrodes,02,0502-E02,-91.5858957968,41.6652140045,212.295,ERT_001
2026-05-02,ERT,ERT electrodes,03,0502-E03,-91.5858919409,41.6652271881,212.339,ERT_002
2026-05-02,ERT,ERT electrodes,04,0502-E04,-91.5858880733,41.6652403536,212.384,ERT_003
2026-05-02,ERT,ERT electrodes,05,0502-E05,-91.5858842053,41.6652535371,212.429,ERT_004
2026-05-02,ERT,ERT electrodes,06,0502-E06,-91.5858803496,41.6652667117,212.474,ERT_005
2026-05-02,ERT,ERT electrodes,07,0502-E07,-91.5858764936,41.6652798954,212.518,ERT_006
2026-05-02,ERT,ERT electrodes,08,0502-E08,-91.5858726258,41.6652930699,212.563,ERT_007
2026-05-02,ERT,ERT electrodes,09,0502-E09,-91.5858687580,41.6653062444,212.608,ERT_008
2026-05-02,ERT,ERT electrodes,10,0502-E10,-91.5858649020,41.6653194280,212.652,ERT_009
2026-05-02,ERT,ERT electrodes,11,0502-E11,-91.5858610343,41.6653326025,212.697,ERT_010
2026-05-02,ERT,ERT electrodes,12,0502-E12,-91.5858571785,41.6653457772,212.742,ERT_011
2026-05-02,ERT,ERT electrodes,13,0502-E13,-91.5858533227,41.6653589518,212.786,ERT_012
2026-05-02,ERT,ERT electrodes,14,0502-E14,-91.5858494427,41.6653721352,212.831,ERT_013
2026-05-02,ERT,ERT electrodes,15,0502-E15,-91.5858455867,41.6653853188,212.876,ERT_014
2026-05-02,ERT,ERT electrodes,16,0502-E16,-91.5858417309,41.6653984934,212.921,ERT_015
2026-05-02,ERT,ERT electrodes,17,0502-E17,-91.5858378631,41.6654116679,212.965,ERT_016
2026-05-02,ERT,ERT electrodes,18,0502-E18,-91.5858340074,41.6654248426,213.010,ERT_017
2026-05-02,ERT,ERT electrodes,19,0502-E19,-91.5858301394,41.6654380261,213.055,ERT_018
2026-05-02,ERT,ERT electrodes,20,0502-E20,-91.5858262834,41.6654512097,213.099,ERT_019
2026-05-02,ERT,ERT electrodes,21,0502-E21,-91.5858224158,41.6654643752,213.144,ERT_020
2026-05-02,ERT,ERT electrodes,22,0502-E22,-91.5858185598,41.6654775588,213.189,ERT_021
2026-05-02,ERT,ERT electrodes,23,0502-E23,-91.5858146920,41.6654907333,213.234,ERT_022
2026-05-02,ERT,ERT electrodes,24,0502-E24,-91.5858108240,41.6655039168,213.278,ERT_023
2026-05-02,ERT,ERT electrodes,25,0502-E25,-91.5858069684,41.6655170825,213.323,ERT_024
2026-05-02,ERT,ERT electrodes,26,0502-E26,-91.5858031124,41.6655302661,213.368,ERT_025
2026-05-02,ERT,ERT electrodes,27,0502-E27,-91.5857992443,41.6655434496,213.412,ERT_026
2026-05-02,ERT,ERT electrodes,28,0502-E28,-91.5857953885,41.6655566243,213.457,ERT_027
2026-05-02,ERT,ERT electrodes,29,0502-E29,-91.5857915205,41.6655698077,213.502,ERT_028
2026-05-02,ERT,ERT electrodes,30,0502-E30,-91.5857876529,41.6655829732,213.546,ERT_029
2026-05-02,ERT,ERT electrodes,31,0502-E31,-91.5857837969,41.6655961569,213.591,ERT_030
2026-05-02,ERT,ERT electrodes,32,0502-E32,-91.5857799411,41.6656093315,213.636,ERT_031
2026-05-02,ERT,ERT electrodes,33,0502-E33,-91.5857760731,41.6656225150,213.681,ERT_032
2026-05-02,ERT,ERT electrodes,34,0502-E34,-91.5857722052,41.6656356895,213.725,ERT_033
2026-05-02,ERT,ERT electrodes,35,0502-E35,-91.5857683494,41.6656488641,213.770,ERT_034
