date,instrument,group,point_id,display_name,longitude_WGS84,latitude_WGS84,elevation_m,original_label,data_class,elevation_source,quality_flags
2026-04-11,ERT,ERT electrodes,01,0411-E01,-91.584485,41.664957,211.16,ERT 01,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,02,0411-E02,-91.58449275,41.66497405,212.175,ERT 02,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,03,0411-E03,-91.58450249,41.66499048,211.317,ERT 03,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,04,0411-E04,-91.58451065,41.66500717,210.509,ERT 04,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,05,0411-E05,-91.58451289,41.6650251,211.719,ERT 05,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,06,0411-E06,-91.58451565,41.66504299,211.408,ERT 06,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,07,0411-E07,-91.58451847,41.66506088,211.129,ERT 07,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,08,0411-E08,-91.58452137,41.66507876,211.433,ERT 08,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,09,0411-E09,-91.58452429,41.66509663,211.686,ERT 09,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,10,0411-E10,-91.5845275,41.66511448,211.425,ERT 10,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,11,0411-E11,-91.5845307,41.66513233,211.164,ERT 11,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,12,0411-E12,-91.58453475,41.66515009,211.676,ERT 12,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,13,0411-E13,-91.58453944,41.66516773,212.03,ERT 13,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,14,0411-E14,-91.58454609,41.66518504,211.52,ERT 14,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,15,0411-E15,-91.58455275,41.66520235,211.009,ERT 15,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,16,0411-E16,-91.5845558,41.6652202,211.142,ERT 16,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,17,0411-E17,-91.58455871,41.66523808,211.3,ERT 17,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,18,0411-E18,-91.58456305,41.66525577,211.568,ERT 18,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,19,0411-E19,-91.58456853,41.66527331,211.925,ERT 19,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,20,0411-E20,-91.58457218,41.66529109,211.98,ERT 20,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,21,0411-E21,-91.58457516,41.66530896,211.925,ERT 21,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,22,0411-E22,-91.5845797,41.66532663,211.987,ERT 22,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,23,0411-E23,-91.58458485,41.66534422,212.094,ERT 23,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,24,0411-E24,-91.58459082,41.66536165,212.152,ERT 24,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,25,0411-E25,-91.5845981,41.66537881,212.131,ERT 25,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,26,0411-E26,-91.58460445,41.66539617,212.169,ERT 26,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,27,0411-E27,-91.58460972,41.66541374,212.274,ERT 27,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,28,0411-E28,-91.58461491,41.66543133,212.304,ERT 28,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,29,0411-E29,-91.58461974,41.66544897,212.347,ERT 29,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,30,0411-E30,-91.58462458,41.66546661,212.389,ERT 30,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,31,0411-E31,-91.58462941,41.66548425,212.431,ERT 31,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,32,0411-E32,-91.58463424,41.6655019,212.474,ERT 32,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,33,0411-E33,-91.58463907,41.66551954,212.516,ERT 33,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,34,0411-E34,-91.5846439,41.66553718,212.558,ERT 34,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,35,0411-E35,-91.58464874,41.66555483,212.6,ERT 35,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,36,0411-E36,-91.58465357,41.66557247,212.643,ERT 36,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,37,0411-E37,-91.5846584,41.66559011,212.685,ERT 37,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,38,0411-E38,-91.58466323,41.66560776,212.727,ERT 38,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,39,0411-E39,-91.58466807,41.6656254,212.77,ERT 39,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,40,0411-E40,-91.5846729,41.66564304,212.812,ERT 40,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,41,0411-E41,-91.58467773,41.66566069,212.854,ERT 41,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,42,0411-E42,-91.58468256,41.66567833,212.897,ERT 42,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,43,0411-E43,-91.58468739,41.66569597,212.939,ERT 43,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,44,0411-E44,-91.58469223,41.66571361,212.981,ERT 44,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,45,0411-E45,-91.58469706,41.66573126,213.024,ERT 45,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,46,0411-E46,-91.58470189,41.6657489,213.066,ERT 46,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,47,0411-E47,-91.58470672,41.66576654,213.108,ERT 47,real,provided_in_source,
2026-04-11,ERT,ERT electrodes,48,0411-E48,-91.58471156,41.66578419,213.151,ERT 48,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,01,0411-S01,-91.584485,41.664957,211.16,Ch52,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,02,0411-S02,-91.584495,41.664979,212.47,Ch11,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,03,0411-S03,-91.58451,41.665002,210.16,0011,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,04,0411-S04,-91.584513,41.665026,211.78,0012,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,05,0411-S05,-91.584518,41.665058,211.08,0013,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,06,0411-S06,-91.584524,41.665095,211.71,0014,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,07,0411-S07,-91.584531,41.665134,211.14,0015,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,08,0411-S08,-91.584538,41.665164,212.14,0016,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,09,0411-S09,-91.584553,41.665203,210.99,0017,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,10,0411-S10,-91.58456,41.665246,211.37,0018,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,11,0411-S11,-91.58457,41.665278,212.02,0019,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,12,0411-S12,-91.584576,41.665314,211.91,0020,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,13,0411-S13,-91.584588,41.665355,212.16,0021,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,14,0411-S14,-91.584602,41.665388,212.12,0022,real,provided_in_source,
2026-04-11,Seismic GPS,Seismic GPS,15,0411-S15,-91.584614,41.665428,212.36,0023,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,01,0502-E01,-91.58589965,41.66520083,212.25,ERT_000,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,02,0502-E02,-91.5858958,41.665214,212.295,ERT_001,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,03,0502-E03,-91.58589194,41.66522719,212.339,ERT_002,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,04,0502-E04,-91.58588807,41.66524035,212.384,ERT_003,real,provided_in_source,
2026-05-02,ERT,ERT electrodes,05,0502-E05,-91.58588421,41.66525354,212.429,ERT_004,real,provided_in_source,
